순번,Circuit,WD 종류,WD Page,Cable Type,From Deck,From Room,From Equipment,To Deck,To Room,To Equipment,Main-SubSystem,길이,가닥수,총길이,From Node,From Length,To Node,To Length,POR Area,SET Area,SET Deck,SET Block,SET Node,S-From Length,S-ToLength,잉여POR,잉여전용량,Cut_div,GroupCircuit,CASING사급,Drum Ser,Drum Seq,Deck PATH,Block PATH,Node PATH,RMK1,RMK2,CUT_NOD,POR_DIV,단위중량,Upper_blk,Stage,DP,From장비Tag,To장비Tag,CheckNode,길이Node,checked,memo,memodate,update_at,setb,setnode_f,setnode_t,list_node,list_BlockPATH,reverse
4271,P-VT-1,PWIR,96,HLM2,E3,,VACUUM TOILET UNIT CONTROL PANEL,E2,,E/R ICMS FC12,/,25,1,25,EFAP018C,2.4,E3AP018E,2.9,E,E32P0,E32P0,E32P0,E3AP018E,21.7,2.9,,0,C,,,ECEF,AC,EF(5.32) E3(19.29),E32P0(5.32) E42P0(19.29),EFAP018C EFAP0348 EFAP0347 EFAP018A E3AP2234 E3AP2233 E3AP2236 E3AP2237 E3AP2238 E3AP2239 E3AP2240 E3AP2241 E3AP2003 E3AP2002 E3AP2247 E3AP2246 E3AP018E  ,,,C91,수정,0.130,E42P0,J,E42P0J540003,A84302VTUCP,E420DDFC12,,       F-(    2.4)-EFAP018C-(   2.79)-EFAP0348-(   4.16)-EFAP0347-(   5.32)-EFAP018A-(   8.39)-E3AP2234-(   8.44)-E3AP2233-(  10.98)-E3AP2236-(  11.64)-E3AP2237-(  12.24)-E3AP2238-(  12.44)-E3AP2239-(   13.3)-E3AP2240-(   13.6)-E3AP2241-(  16.15)-E3AP2003-(  16.54)-E3AP2002-(  17.96)-E3AP2247-(  19.49)-E3AP2246-(  21.71)-E3AP018E-(  24.61)-T       ,,,,,,,,,,
4273,A-LFSS6-3B,,,HDY2,AU,,CCC,,,EXTERNAL LP PUMP OUTLET FLOW METER,/,144,1,144,AUFP222A,5.1,OUFS2008,2.1,,,,2D_AU_P1,,,,,,,,,,,AU(12.23) OU(30.76) CM(14.89) OU(85.5),H11P0(12.23) D11P0(131.15),AUFP222A AUFP2195 AUFP2196 AUFP2197 AUFP2198 AUFP2199 AUFP2215 AUFP2214 AUFP2172 AUFP2151 OUFP2801 OUFP2701 CMFP2312 CMFP2311 OUFP2702 OUFP2703 OUFP2704 OUFS2008,,,,,0.245,,,,,,,       F-(    5.1)-AUFP222A-(    6.1)-AUFP2195-(   6.26)-AUFP2196-(   6.62)-AUFP2197-(      7)-AUFP2198-(   7.82)-AUFP2199-(   9.72)-AUFP2215-(  10.94)-AUFP2214-(   11.9)-AUFP2172-(  12.23)-AUFP2151-(  19.67)-OUFP2801-(  20.67)-OUFP2701-(  42.99)-CMFP2312-(  57.88)-CMFP2311-(  64.47)-OUFP2702-(  77.65)-OUFP2703-( 108.02)-OUFP2704-( 141.28)-OUFS2008-( 143.38)-T       ,,,,,,,,,,
4272,A-LFSS6-3,,,HLTTYS2,E2,,LFSS ICMS FC69,,,EXTERNAL LP PUMP OUTLET FLOW METER,/,143,1,143,E2FP024D,3.5,OUFS2008,2.1,,,,2D_AU_C,,,,,,,,,,,E2(8.4) AU(3.39) OU(29.8) CM(14.76) OU(85.74),E51P0(8.4) H11P0(3.39) D11P0(29.8) G23A0(14.76) D11P0(85.74),E2FP024D E2FP2114 E2FP2113 E2FP2112 E2FP2085 E2FP225A AUFP2153 AUFP2155 AUFP2156 AUFP2157 AUFP2158 AUFP2159 AUFP2171 AUFP2170 AUFP2173 AUFP2078 AUFP2078 OUFP2601 CMFP2301 CMFP2105 CMFP2104 CMFP2302 OUFP2602 OUFP2603 OUFP2604 OUFP2704 OUFS2008,,,,,0.285,,,,,,,       F-(    3.5)-E2FP024D-(   4.99)-E2FP2114-(   5.93)-E2FP2113-(   6.41)-E2FP2112-(   7.71)-E2FP2085-(    8.4)-E2FP225A-(   8.62)-AUFP2153-(   9.02)-AUFP2155-(   9.26)-AUFP2156-(   9.44)-AUFP2157-(   9.88)-AUFP2158-(  10.14)-AUFP2159-(  10.85)-AUFP2171-(  10.93)-AUFP2170-(  11.22)-AUFP2173-(  11.79)-AUFP2078-(  19.39)-OUFP2601-(  41.59)-CMFP2301-(  41.99)-CMFP2105-(   44.1)-CMFP2104-(  56.35)-CMFP2302-(  62.93)-OUFP2602-(  75.86)-OUFP2603-( 106.03)-OUFP2604-( 106.73)-OUFP2704-( 139.99)-OUFS2008-( 142.09)-T       ,,,,,,,,,,
4274,A-LFSS6-4,,,HLTTYS2,E2,,LFSS ICMS FC69,,,LPG FUEL CONSUMPTION FLOW METER,/,35,1,35,E2FP024D,3.5,OUFP2013,3.2,,,,4D_AU_C,,,,,,,,,,,E2(8.4) AU(3.39) OU(22.96),E51P0(8.4) H11P0(3.39) D11P0(22.96),E2FP024D E2FP2114 E2FP2113 E2FP2112 E2FP2085 E2FP225A AUFP2153 AUFP2155 AUFP2156 AUFP2157 AUFP2158 AUFP2159 AUFP2171 AUFP2170 AUFP2173 AUFP2078 AUFP2078 OUFP2601 OUFP2809 OUFP2004 OUFP2013,,,,,0.285,,,,,,,       F-(    3.5)-E2FP024D-(   4.99)-E2FP2114-(   5.93)-E2FP2113-(   6.41)-E2FP2112-(   7.71)-E2FP2085-(    8.4)-E2FP225A-(   8.62)-AUFP2153-(   9.02)-AUFP2155-(   9.26)-AUFP2156-(   9.44)-AUFP2157-(   9.88)-AUFP2158-(  10.14)-AUFP2159-(  10.85)-AUFP2171-(  10.93)-AUFP2170-(  11.22)-AUFP2173-(  11.79)-AUFP2078-(  19.39)-OUFP2601-(  25.35)-OUFP2809-(  25.84)-OUFP2004-(  31.55)-OUFP2013-(  34.75)-T       ,,,,,,,,,,
4275,A-LFSS6-4B,,,HDY2,AU,,CCC,,,LPG FUEL CONSUMPTION FLOW METER,/,33,1,33,AUFP222A,5.1,OUFP2013,3.2,,,,4D_AU_P1,,,,,,,,,,,AU(12.23) OU(20.44),H11P0(12.23) D11P0(20.44),AUFP222A AUFP2195 AUFP2196 AUFP2197 AUFP2198 AUFP2199 AUFP2215 AUFP2214 AUFP2172 AUFP2151 OUFP2801 OUFP2809 OUFP2004 OUFP2013,,,,,0.245,,,,,,,       F-(    5.1)-AUFP222A-(    6.1)-AUFP2195-(   6.26)-AUFP2196-(   6.62)-AUFP2197-(      7)-AUFP2198-(   7.82)-AUFP2199-(   9.72)-AUFP2215-(  10.94)-AUFP2214-(   11.9)-AUFP2172-(  12.23)-AUFP2151-(  19.67)-OUFP2801-(  23.27)-OUFP2809-(  23.76)-OUFP2004-(  29.47)-OUFP2013-(  32.67)-T       ,,,,,,,,,,
