鉴锅,Circuit,WD 辆幅,WD Page,Cable Type,From Deck,From Room,From Equipment,To Deck,To Room,To Equipment,Main-SubSystem,辨捞,啊蹿荐,醚辨捞,From Node,From Length,To Node,To Length,POR Area,SET Area,SET DECK,SET Block,SET Node,S-From Length,S-ToLength,雷咯POR,雷咯傈侩樊,Cut_div,GroupCircuit,CASING荤鞭,Drum Ser,Drum Seq,Deck PATH,Block PATH,Node PATH,RMK1,RMK2,CUT_NOD,POR_DIV,窜困吝樊,Upper_blk,Stage,DP,From厘厚Tag,To厘厚Tag,CheckNode,辨捞Node
3103,P-C1-001,PWIR,86,HLM16,AU,,CARGO MCC (PANEL A),AU,,CARGO MCC(PANEL B),/,10,1,10,AUFP2333,3.5,AUFP2165,3.5,A,A,H11P0,H11P0,AUFP2333,3.5,5.7,,0,C,,,ECA0,CD,AU(9.16),H11P0(9.16),AUFP2333 AUFP2171 AUFP2170 AUFP2169 AUFP2168 AUFP2167 AUFP2166 AUFP2165  ,,,X1,惯青,0.515,H11P0,J,H11P0J540003,B07151MCC_A,B07151MCC_B,,       F-(    3.5)-AUFP2333-(   4.06)-AUFP2171-(   4.22)-AUFP2170-(   4.78)-AUFP2169-(   4.84)-AUFP2168-(   4.92)-AUFP2167-(   5.36)-AUFP2166-(   5.66)-AUFP2165-(   9.16)-T       
3104,P-C1-002,PWIR,86,HD1,AU,,CARGO MCC (PANEL A),AU,,CARGO MCC(PANEL B),/,10,1,10,AUFP2333,3.5,AUFP2165,3.5,A,A,H11P0,H11P0,AUFP2333,3.5,5.7,,0,C,,,ECA0,BY,AU(9.16),H11P0(9.16),AUFP2333 AUFP2171 AUFP2170 AUFP2169 AUFP2168 AUFP2167 AUFP2166 AUFP2165  ,,,X1,惯青,0.200,H11P0,J,H11P0J540003,B07151MCC_A,B07151MCC_B,,       F-(    3.5)-AUFP2333-(   4.06)-AUFP2171-(   4.22)-AUFP2170-(   4.78)-AUFP2169-(   4.84)-AUFP2168-(   4.92)-AUFP2167-(   5.36)-AUFP2166-(   5.66)-AUFP2165-(   9.16)-T       
3105,P-C1-003,PWIR,86,HD1,AU,,CARGO MCC (PANEL A),AU,,CARGO MCC(PANEL B),/,10,1,10,AUFP2333,3.5,AUFP2165,3.5,A,A,H11P0,H11P0,AUFP2333,3.5,5.7,,0,C,,,ECA0,BY,AU(9.16),H11P0(9.16),AUFP2333 AUFP2171 AUFP2170 AUFP2169 AUFP2168 AUFP2167 AUFP2166 AUFP2165  ,,,X1,惯青,0.200,H11P0,J,H11P0J540003,B07151MCC_A,B07151MCC_B,,       F-(    3.5)-AUFP2333-(   4.06)-AUFP2171-(   4.22)-AUFP2170-(   4.78)-AUFP2169-(   4.84)-AUFP2168-(   4.92)-AUFP2167-(   5.36)-AUFP2166-(   5.66)-AUFP2165-(   9.16)-T       
3106,P-C1-1B,PWIR,87,HDYS1,AU,,CARGO MCC (PANEL A),CM,,THERMISTOR,/,78,1,78,AUFP2161,3.5,CMFS2036,1.8,U,O,D11P0,CM_AU,OUFP0703,47.7,29.7,,0,C,,,ECU0,BS,AU(17.08) OU(30.58) CM(29.7),H11P0(17.08) D11P0(30.58) G23A0(29.7),AUFP2161 AUFP2318 AUFP2162 AUFP2163 AUFP2319 AUFP2164 AUFP2165 AUFP2166 AUFP2167 AUFP2168 AUFP2169 AUFP2170 AUFP2171 AUFP2333 AUFP2902 AUFP2902 OUFP0070 OUFP0053 OUFP0703 CMFP2102 CMFP2101 CMFP2099 CMFP2085 CMFP2084 CMFP2083 CMFS2029 CMFS2033 CMFS2031 CMFS2032 CMFS2039 CMFS2036  ,,,C12,惯青,0.220,,P,D11P0P54B103,B07151MCC_A,B07109MK2300TH,,       F-(    3.5)-AUFP2161-(     10)-AUFP2318-(  10.34)-AUFP2162-(   11.1)-AUFP2163-(  11.28)-AUFP2319-(   11.4)-AUFP2164-(  11.42)-AUFP2165-(  11.72)-AUFP2166-(  12.16)-AUFP2167-(  12.24)-AUFP2168-(   12.3)-AUFP2169-(  12.86)-AUFP2170-(  13.02)-AUFP2171-(  13.58)-AUFP2333-(  17.08)-AUFP2902-(  17.38)-OUFP0070-(  27.71)-OUFP0053-(  47.66)-OUFP0703-(  47.86)-CMFP2102-(  48.39)-CMFP2101-(   49.5)-CMFP2099-(   55.5)-CMFP2085-(   57.1)-CMFP2084-(  58.99)-CMFP2083-(  62.35)-CMFS2029-(  67.52)-CMFS2033-(  69.98)-CMFS2031-(  70.39)-CMFS2032-(  71.56)-CMFS2039-(  75.56)-CMFS2036-(  77.36)-T       
3107,P-C1-1B1,PWIR,87,HDY1,AU,,CARGO MCC (PANEL A),CM,,SPACE HEATER,/,78,1,78,AUFP2161,3.5,CMFS2036,1.8,U,O,D11P0,CM_AU,OUFP0703,47.7,29.7,,0,C,,,ECU0,BT,AU(17.08) OU(30.58) CM(29.7),H11P0(17.08) D11P0(30.58) G23A0(29.7),AUFP2161 AUFP2318 AUFP2162 AUFP2163 AUFP2319 AUFP2164 AUFP2165 AUFP2166 AUFP2167 AUFP2168 AUFP2169 AUFP2170 AUFP2171 AUFP2333 AUFP2902 AUFP2902 OUFP0070 OUFP0053 OUFP0703 CMFP2102 CMFP2101 CMFP2099 CMFP2085 CMFP2084 CMFP2083 CMFS2029 CMFS2033 CMFS2031 CMFS2032 CMFS2039 CMFS2036  ,,,C12,惯青,0.220,,P,D11P0P54B103,B07151MCC_A,B07109MK2300EH,,       F-(    3.5)-AUFP2161-(     10)-AUFP2318-(  10.34)-AUFP2162-(   11.1)-AUFP2163-(  11.28)-AUFP2319-(   11.4)-AUFP2164-(  11.42)-AUFP2165-(  11.72)-AUFP2166-(  12.16)-AUFP2167-(  12.24)-AUFP2168-(   12.3)-AUFP2169-(  12.86)-AUFP2170-(  13.02)-AUFP2171-(  13.58)-AUFP2333-(  17.08)-AUFP2902-(  17.38)-OUFP0070-(  27.71)-OUFP0053-(  47.66)-OUFP0703-(  47.86)-CMFP2102-(  48.39)-CMFP2101-(   49.5)-CMFP2099-(   55.5)-CMFP2085-(   57.1)-CMFP2084-(  58.99)-CMFP2083-(  62.35)-CMFS2029-(  67.52)-CMFS2033-(  69.98)-CMFS2031-(  70.39)-CMFS2032-(  71.56)-CMFS2039-(  75.56)-CMFS2036-(  77.36)-T       
3108,P-C1-1C,PWIR,87,HLTTS2,AU,,CARGO MCC (PANEL A),AA,,CARGO ICMS(FC31),/,15,1,15,AUFP2161,3.5,AUFP025D,2.1,A,A,H11P0,H11P0,AUFP025D,12.2,2.1,,0,C,,,ECA0,AG,AU(14.26),H11P0(14.26),AUFP2161 AUFP2318 AUFP2320 AUFP025D  ,,,C99,惯青,0.210,H11P0,J,H11P0J540003,B07151MCC_A,B07141IAS2,,       F-(    3.5)-AUFP2161-(     10)-AUFP2318-(  10.66)-AUFP2320-(  12.16)-AUFP025D-(  14.26)-T       
3109,P-C1-1D,PWIR,87,HDS1,AU,,CARGO MCC (PANEL A),AA,,C.C.C,/,16,1,16,AUFP2161,3.5,AUFP024A,2.1,A,A,H11P0,H11P0,AUFP024A,13.9,2.1,,0,C,,,ECA0,DJ,AU(16),H11P0(16),AUFP2161 AUFP2173 AUFP2174 AUFP2179 AUFP2180 AUFP2181 AUFP2185 AUFP2184 AUFP024A  ,,,C93,惯青,0.200,H11P0,J,H11P0J540003,B07151MCC_A,B005CCCCC,,       F-(    3.5)-AUFP2161-(   10.6)-AUFP2173-(  10.81)-AUFP2174-(  11.29)-AUFP2179-(  11.95)-AUFP2180-(  12.01)-AUFP2181-(  12.54)-AUFP2185-(   12.9)-AUFP2184-(   13.9)-AUFP024A-(     16)-T       
3110,P-C1-1E,PWIR,87,HLM4,AU,,CARGO MCC (PANEL A),AA,,C.C.C,/,17,1,17,AUFP2161,3.5,AUFP024A,3.1,A,A,H11P0,H11P0,AUFP024A,13.9,3.1,,0,C,,,ECA0,BD,AU(17),H11P0(17),AUFP2161 AUFP2173 AUFP2174 AUFP2179 AUFP2180 AUFP2181 AUFP2185 AUFP2184 AUFP024A  ,,,C93,惯青,0.180,H11P0,J,H11P0J540003,B07151MCC_A,B005CCCCC,,       F-(    3.5)-AUFP2161-(   10.6)-AUFP2173-(  10.81)-AUFP2174-(  11.29)-AUFP2179-(  11.95)-AUFP2180-(  12.01)-AUFP2181-(  12.54)-AUFP2185-(   12.9)-AUFP2184-(   13.9)-AUFP024A-(     17)-T       
3111,P-C1-1F,PWIR,87,HLM12,AU,,CARGO MCC (PANEL A),AA,,CARGO ICMS(FC31),/,15,1,15,AUFP2161,3.5,AUFP025D,2.1,A,A,H11P0,H11P0,AUFP025D,12.2,2.1,,0,C,,,ECA0,BC,AU(14.26),H11P0(14.26),AUFP2161 AUFP2318 AUFP2320 AUFP025D  ,,,C99,惯青,0.420,H11P0,J,H11P0J540003,B07151MCC_A,B07141IAS2,,       F-(    3.5)-AUFP2161-(     10)-AUFP2318-(  10.66)-AUFP2320-(  12.16)-AUFP025D-(  14.26)-T       
3112,P-C1-1Z1,PWIR,87,HTY150,AU,,CARGO MCC (PANEL A),CM,,NO.3 CARGO COMPRESSOR STBD (MK-2300),/,77,1,77,AUFP2161,3.5,CMFS2030,2.4,U,O,D11P0,CM_AU,OUFP0703,47.7,28.5,,0,C,,,ECU0,BU,AU(17.08) OU(30.58) CM(28.52),H11P0(17.08) D11P0(30.58) G23A0(28.52),AUFP2161 AUFP2318 AUFP2162 AUFP2163 AUFP2319 AUFP2164 AUFP2165 AUFP2166 AUFP2167 AUFP2168 AUFP2169 AUFP2170 AUFP2171 AUFP2333 AUFP2902 AUFP2902 OUFP0070 OUFP0053 OUFP0703 CMFP2102 CMFP2101 CMFP2099 CMFP2085 CMFP2084 CMFP2083 CMFS2029 CMFS2033 CMFS2031 CMFS2030  ,,,C12,惯青,6.190,,P,D11P0P54B103,B07151MCC_A,B07109MK2300,,       F-(    3.5)-AUFP2161-(     10)-AUFP2318-(  10.34)-AUFP2162-(   11.1)-AUFP2163-(  11.28)-AUFP2319-(   11.4)-AUFP2164-(  11.42)-AUFP2165-(  11.72)-AUFP2166-(  12.16)-AUFP2167-(  12.24)-AUFP2168-(   12.3)-AUFP2169-(  12.86)-AUFP2170-(  13.02)-AUFP2171-(  13.58)-AUFP2333-(  17.08)-AUFP2902-(  17.38)-OUFP0070-(  27.71)-OUFP0053-(  47.66)-OUFP0703-(  47.86)-CMFP2102-(  48.39)-CMFP2101-(   49.5)-CMFP2099-(   55.5)-CMFP2085-(   57.1)-CMFP2084-(  58.99)-CMFP2083-(  62.35)-CMFS2029-(  67.52)-CMFS2033-(  69.98)-CMFS2031-(  73.78)-CMFS2030-(  76.18)-T       
