순번,Circuit,WD 종류,WD Page,Cable Type,From Deck,From Room,From Equipment,To Deck,To Room,To Equipment,Main-SubSystem,길이,가닥수,총길이,From Node,From Length,To Node,To Length,POR Area,SET Area,SET Deck,SET Block,SET Node,S-From Length,S-ToLength,잉여POR,잉여전용량,Cut_div,GroupCircuit,CASING사급,Drum Ser,Drum Seq,Deck PATH,Block PATH,Node PATH,RMK1,RMK2,CUT_NOD,POR_DIV,단위중량,Upper_blk,Stage,DP,From장비Tag,To장비Tag,CheckNode,길이Node,checked,memo,memodate,update_at,setb,setnode_f,setnode_t,list_node,list_BlockPATH,reverse
3444,P-C3-5B,PWIR,90,HDYS1,AU,,CARGO MCC (PANEL C),CM,,THERMISTOR,/,55,1,55,AUFP2233,2.4,CMFP2089,2,U,CM_AU_P2,CM_AU,CM_AU_P2,OUFP2801,14.5,39.6,,0,C,,,ECUA,BR,AU(7.02) OU(29.69) CM(17.31),H11P0(7.02) D11P0(29.69) G23A0(17.31),AUFP2233 AUFP2234 AUFP2235 AUFP2215 AUFP2214 AUFP2172 AUFP2151 AUFP2151 OUFP2801 CMFP2304 CMFP2103 CMFP2100 CMFP2101 CMFP2099 CMFP2092 CMFP2094 CMFP2091 CMFP2087 CMFP2086 CMFP2089  ,=21678/431818,,X1,수정,0.220,,P,D11P0P54B103,B07151C,B07110PORTTH,,       F-(    2.4)-AUFP2233-(      3)-AUFP2234-(   3.54)-AUFP2235-(   4.51)-AUFP2215-(   5.73)-AUFP2214-(   6.69)-AUFP2172-(   7.02)-AUFP2151-(  14.46)-OUFP2801-(  36.71)-CMFP2304-(  37.35)-CMFP2103-(  38.32)-CMFP2100-(  38.52)-CMFP2101-(  43.43)-CMFP2099-(  44.41)-CMFP2092-(  46.46)-CMFP2094-(  47.24)-CMFP2091-(  47.62)-CMFP2087-(  48.74)-CMFP2086-(  52.02)-CMFP2089-(  54.02)-T       ,,,,,,,,,,
3445,P-C3-5C,PWIR,90,HDS1,AU,,CARGO MCC (PANEL C),AA,,C.C.C,/,10,1,10,AUFP2233,2.4,AUFP224A,3.7,A,H11P0,H11P0,H11P0,AUFP224A,5.3,3.7,,0,C,,,ECA0,DQ,AU(9.02),H11P0(9.02),AUFP2233 AUFP2232 AUFP2231 AUFP2230 AUFP2229 AUFP2253 AUFP224A  ,=21678/431818,=21666/95269,C105,수정,0.200,,J,H11P0J540003,B07151C,B005CCCCC,,       F-(    2.4)-AUFP2233-(    2.9)-AUFP2232-(   3.26)-AUFP2231-(   3.75)-AUFP2230-(   3.95)-AUFP2229-(   4.43)-AUFP2253-(   5.32)-AUFP224A-(   9.02)-T       ,,,,,,,,,,
3446,P-C3-5D,PWIR,90,HLM4,AU,,CARGO MCC (PANEL C),AA,,C.C.C,/,10,1,10,AUFP2233,2.4,AUFP224A,3.7,A,H11P0,H11P0,H11P0,AUFP224A,5.3,3.7,,0,C,,,ECA0,AV,AU(9.02),H11P0(9.02),AUFP2233 AUFP2232 AUFP2231 AUFP2230 AUFP2229 AUFP2253 AUFP224A  ,=21678/431818,=21666/95269,C105,수정,0.180,,J,H11P0J540003,B07151C,B005CCCCC,,       F-(    2.4)-AUFP2233-(    2.9)-AUFP2232-(   3.26)-AUFP2231-(   3.75)-AUFP2230-(   3.95)-AUFP2229-(   4.43)-AUFP2253-(   5.32)-AUFP224A-(   9.02)-T       ,,,,,,,,,,
3447,P-C3-5E,PWIR,90,HLM12,AU,,CARGO MCC (PANEL C),AA,,CARGO ICMS FC31(SAFE I/O CABINET),/,13,1,13,AUFP2233,2.4,AUFP223B,3.6,A,H11P0,H11P0,H11P0,AUFP223B,9.2,3.6,,0,C,,,ECA0,CC,AU(12.84),H11P0(12.84),AUFP2233 AUFP2232 AUFP2231 AUFP2230 AUFP2229 AUFP2228 AUFP2227 AUFP2226 AUFP2225 AUFP2224 AUFP2223 AUFP2222 AUFP2251 AUFP2252 AUFP223B  ,=21678/431818,=21666/95217,C104,수정,0.420,,J,H11P0J540003,B07151C,B07141FC31,,       F-(    2.4)-AUFP2233-(    2.9)-AUFP2232-(   3.26)-AUFP2231-(   3.75)-AUFP2230-(   3.95)-AUFP2229-(   4.33)-AUFP2228-(   4.91)-AUFP2227-(   5.47)-AUFP2226-(   5.99)-AUFP2225-(   6.39)-AUFP2224-(   6.75)-AUFP2223-(   7.51)-AUFP2222-(   7.94)-AUFP2251-(   8.68)-AUFP2252-(   9.24)-AUFP223B-(  12.84)-T       ,,,,,,,,,,
3448,P-C3-5F,PWIR,90,HLTTS1,AU,,CARGO MCC (PANEL C),AA,,CARGO ICMS FC31(SAFE I/O CABINET),/,13,1,13,AUFP2233,2.4,AUFP223B,3.6,A,H11P0,H11P0,H11P0,AUFP223B,9.2,3.6,,0,C,,,ECA0,AF,AU(12.84),H11P0(12.84),AUFP2233 AUFP2232 AUFP2231 AUFP2230 AUFP2229 AUFP2228 AUFP2227 AUFP2226 AUFP2225 AUFP2224 AUFP2223 AUFP2222 AUFP2251 AUFP2252 AUFP223B  ,=21678/431818,=21666/95217,C104,수정,0.120,,J,H11P0J540003,B07151C,B07141FC31,,       F-(    2.4)-AUFP2233-(    2.9)-AUFP2232-(   3.26)-AUFP2231-(   3.75)-AUFP2230-(   3.95)-AUFP2229-(   4.33)-AUFP2228-(   4.91)-AUFP2227-(   5.47)-AUFP2226-(   5.99)-AUFP2225-(   6.39)-AUFP2224-(   6.75)-AUFP2223-(   7.51)-AUFP2222-(   7.94)-AUFP2251-(   8.68)-AUFP2252-(   9.24)-AUFP223B-(  12.84)-T       ,,,,,,,,,,
3449,P-C3-5Z1,PWIR,90,HTY150,AU,,CARGO MCC (PANEL C),CM,,PORT CARGO COMPRESSOR (MK-2100),/,54,1,54,AUFP2232,2.4,CMFP2096,5,U,CM_AU_P2,CM_AU,CM_AU_P2,OUFP2801,15,35.2,,0,C,,,ECUA,CH,AU(7.52) OU(29.69) CM(15.98),H11P0(7.52) D11P0(29.69) G23A0(15.98),AUFP2232 AUFP2233 AUFP2234 AUFP2235 AUFP2215 AUFP2214 AUFP2172 AUFP2151 AUFP2151 OUFP2801 CMFP2304 CMFP2103 CMFP2100 CMFP2101 CMFP2099 CMFP2092 CMFP2094 CMFP2096  ,=21678/431818,,X1,수정,6.190,,P,D11P0P54B103,B07151C,B07110PORT,,       F-(    2.4)-AUFP2232-(    2.9)-AUFP2233-(    3.5)-AUFP2234-(   4.04)-AUFP2235-(   5.01)-AUFP2215-(   6.23)-AUFP2214-(   7.19)-AUFP2172-(   7.52)-AUFP2151-(  14.96)-OUFP2801-(  37.21)-CMFP2304-(  37.85)-CMFP2103-(  38.82)-CMFP2100-(  39.02)-CMFP2101-(  43.93)-CMFP2099-(  44.91)-CMFP2092-(  46.96)-CMFP2094-(  48.19)-CMFP2096-(  53.19)-T       ,,,,,,,,,,
3450,P-C3-5Z2,PWIR,90,HTY150,AU,,CARGO MCC (PANEL C),CM,,PORT CARGO COMPRESSOR (MK-2100),/,54,1,54,AUFP2232,2.4,CMFP2096,5,U,CM_AU_P2,CM_AU,CM_AU_P2,OUFP2801,15,35.2,,0,C,,,ECUA,CH,AU(7.52) OU(29.69) CM(15.98),H11P0(7.52) D11P0(29.69) G23A0(15.98),AUFP2232 AUFP2233 AUFP2234 AUFP2235 AUFP2215 AUFP2214 AUFP2172 AUFP2151 AUFP2151 OUFP2801 CMFP2304 CMFP2103 CMFP2100 CMFP2101 CMFP2099 CMFP2092 CMFP2094 CMFP2096  ,=21678/431818,,X1,수정,6.190,,P,D11P0P54B103,B07151C,B07110PORT,,       F-(    2.4)-AUFP2232-(    2.9)-AUFP2233-(    3.5)-AUFP2234-(   4.04)-AUFP2235-(   5.01)-AUFP2215-(   6.23)-AUFP2214-(   7.19)-AUFP2172-(   7.52)-AUFP2151-(  14.96)-OUFP2801-(  37.21)-CMFP2304-(  37.85)-CMFP2103-(  38.82)-CMFP2100-(  39.02)-CMFP2101-(  43.93)-CMFP2099-(  44.91)-CMFP2092-(  46.96)-CMFP2094-(  48.19)-CMFP2096-(  53.19)-T       ,,,,,,,,,,
3451,P-C3-5Z3,PWIR,90,HTY150,AU,,CARGO MCC (PANEL C),CM,,PORT CARGO COMPRESSOR (MK-2100),/,54,1,54,AUFP2232,2.4,CMFP2096,5,U,CM_AU_P2,CM_AU,CM_AU_P2,OUFP2801,15,35.2,,0,C,,,ECUA,CH,AU(7.52) OU(29.69) CM(15.98),H11P0(7.52) D11P0(29.69) G23A0(15.98),AUFP2232 AUFP2233 AUFP2234 AUFP2235 AUFP2215 AUFP2214 AUFP2172 AUFP2151 AUFP2151 OUFP2801 CMFP2304 CMFP2103 CMFP2100 CMFP2101 CMFP2099 CMFP2092 CMFP2094 CMFP2096  ,=21678/431818,,X1,수정,6.190,,P,D11P0P54B103,B07151C,B07110PORT,,       F-(    2.4)-AUFP2232-(    2.9)-AUFP2233-(    3.5)-AUFP2234-(   4.04)-AUFP2235-(   5.01)-AUFP2215-(   6.23)-AUFP2214-(   7.19)-AUFP2172-(   7.52)-AUFP2151-(  14.96)-OUFP2801-(  37.21)-CMFP2304-(  37.85)-CMFP2103-(  38.82)-CMFP2100-(  39.02)-CMFP2101-(  43.93)-CMFP2099-(  44.91)-CMFP2092-(  46.96)-CMFP2094-(  48.19)-CMFP2096-(  53.19)-T       ,,,,,,,,,,
3452,P-C3-5Z4,PWIR,90,HTY150,AU,,CARGO MCC (PANEL C),CM,,PORT CARGO COMPRESSOR (MK-2100),/,54,1,54,AUFP2232,2.4,CMFP2096,5,U,CM_AU_P2,CM_AU,CM_AU_P2,OUFP2801,15,35.2,,0,C,,,ECUA,CH,AU(7.52) OU(29.69) CM(15.98),H11P0(7.52) D11P0(29.69) G23A0(15.98),AUFP2232 AUFP2233 AUFP2234 AUFP2235 AUFP2215 AUFP2214 AUFP2172 AUFP2151 AUFP2151 OUFP2801 CMFP2304 CMFP2103 CMFP2100 CMFP2101 CMFP2099 CMFP2092 CMFP2094 CMFP2096  ,=21678/431818,,X1,수정,6.190,,P,D11P0P54B103,B07151C,B07110PORT,,       F-(    2.4)-AUFP2232-(    2.9)-AUFP2233-(    3.5)-AUFP2234-(   4.04)-AUFP2235-(   5.01)-AUFP2215-(   6.23)-AUFP2214-(   7.19)-AUFP2172-(   7.52)-AUFP2151-(  14.96)-OUFP2801-(  37.21)-CMFP2304-(  37.85)-CMFP2103-(  38.82)-CMFP2100-(  39.02)-CMFP2101-(  43.93)-CMFP2099-(  44.91)-CMFP2092-(  46.96)-CMFP2094-(  48.19)-CMFP2096-(  53.19)-T       ,,,,,,,,,,
3453,P-C3-6,PWIR,91,HTY95,AU,,CARGO MCC (PANEL C),OU,,NO.2 GAS FREEING FAN (MK-8110),/,27,1,27,AUFP2234,2.4,OUFP2804,1.8,U,4D_AU_P2,4D_AU,4D_AU_P2,OUFP2801,13.9,12.6,,0,C,,,ECUA,CC,AU(6.42) OU(20.08),H11P0(6.42) D11P0(20.08),AUFP2234 AUFP2235 AUFP2215 AUFP2214 AUFP2172 AUFP2151 AUFP2151 OUFP2801 OUFP2802 OUFP2803 OUFP2804  ,=21678/431818,,X1,수정,3.940,,P,D11P0P54B103,B07151C,B044AAGFF2,,       F-(    2.4)-AUFP2234-(   2.94)-AUFP2235-(   3.91)-AUFP2215-(   5.13)-AUFP2214-(   6.09)-AUFP2172-(   6.42)-AUFP2151-(  13.86)-OUFP2801-(  20.57)-OUFP2802-(  23.16)-OUFP2803-(   24.7)-OUFP2804-(   26.5)-T       ,,,,,,,,,,
